Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,IOS_P12_DISTRIBUTION_CERT_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_P12_DISTRIBUTION_CERT_PASSWORD,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_PNPD_PROVISION_PROFILE_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,IOS_PROVISION_PROFILE_BASE64,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,MOBILE,WALLET_PROVIDER,ALL,SECRET,-
Live,LMS_LICENSE_TABLE_NAME,${VPC-STAGE}-660_dbt_LmsLicense_core,DynamoDb table,-,ENV_VAR,PAYMENT_SERVICE ,CORE,PNP,TABLE,-
Live,LMS_BROWSER_TABLE_NAME,${VPC-STAGE}-661_dbt_LmsBrowser_core,DynamoDb table,-,ENV_VAR,PAYMENT_SERVICE ,CORE,PNP,TABLE,-
Live,LOG_LEVEL,"[error, debug, info]",Level of Logging output required for a service,-,ENV_VAR,ALL,ALL,ALL,VALUE,-
Planned,LOGGING_END_POINT,TBD ,URL address for logging output,-,ENV_VAR,ALL,ALL,ALL,URL,-
Planned,LOGGING_END_POINT_PASSWORD,TBD,Logging system access password ,-,ENV_VAR,ALL,ALL,ALL,VALUE,-
Planned,LOGGING_END_POINT_USERNAME,TBD,Logging system access username,-,ENV_VAR,ALL,ALL,ALL,VALUE,-
Live,MOBILE_APP,https://github.com/fourdotzero/wp-20-wallet-application,Github Repo ID,-,n/a,wp-20-walet,WALLET_PROVIDER,ALL,URL,-
Planned,NETWORK_FEE_DLT_ID_PBK,As 'CORE_OP_DLT_ID_PBK',TBD,-,-,-,-,-,-,-
Planned,NETWORK_FEE_DLT_ID_PK,As 'CORE_OP_DLT_ID_PK',TBD,-,-,-,-,-,-,-
Live,NETWORK_FEE_ID_PBK,0xaab1563DD2f2A082e93576BAdcD8C08b08a8b5b0,DLTPublicKey_Avalanche Network Fee Account,-,CONFIG_DATA,PAYMENT_SERVICE ,DLT_NETWORK,Avalanche,WALLET_PBK,-
Planned,NETWORK_FEE_ID_PK,See Param_Store ,DLTPrivateKey_Avalanche Network Fee Account - 0xaab1563DD2f2A082e93576BAdcD8C08b08a8b5b0,-,CONFIG_DATA,PAYMENT_SERVICE ,DLT_NETWORK,AVALANCHE,WALLET_PK,-
Live,network_id/ava_test,FA9D1E7F-C3FE-48AB-9050-D20EE25B30D8,Network id for collector service to collect from,-,ENV_VAR,PAYMENT_SERVICE,ALL,ALL,VALUE,-
Live,NOTIFICATION_TABLE_NAME,${VPC-STAGE}-655_dbt_Notification_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,NOTIFICATIONDEVICE_TABLE_NAME,${VPC-STAGE}-645_dbt_NotificationDevice_wp,DynamoDb table,-,ENV_VAR,wp-1-envmt,WALLET_PROVIDER,ALL,TABLE,-
Live,NOTIFICATIONS_APN_KEY_ID,See Param_Store ,Is the Key ID corresponding to NOTIFICATIONS_APN_PRIVATE_KEY ,-,ENV_VAR,PAYMENT_SERVICE,WALLET_PROVIDER,ALL,Value,-
Live,NOTIFICATIONS_APN_PRIVATE_KEY,See Param_Store ,Is the PK used to sign the authorisation token used for calling the APN service.,-,ENV_VAR,PAYMENT_SERVICE,WALLET_PROVIDER,ALL,SECRET,-
Live,NOTIFICATIONS_FIREBASE_CERT,See Param_Store ,Firebase Cloud Messaging Certificate ,-,ENV_VAR,PAYMENT_SERVICE ,WALLET_PROVIDER,ALL,SECRET,-
Planned,PNPD_OP_DLT_ID_PBK,0x49C4Bb90a264f2496De0358F665437B00a54c19d,DLTPublicKey_PNPD Wallet Provider Op Account (WP1)_Acc 2,Wallet Table DLT_ID,CONFIG_DATA,PAYMENT_SERVICE ,WALLET_PROVIDER,PNPD,VALUE,-
Planned,PNPD_OP_DLT_ID_PK,See AWS Secrets Manager,DLTPrivateKey_PNPD Wallet Provider Op Account (WP1)_Acc 2 - 0x49C4Bb90a264f2496De0358F665437B00a54c19d,Currently DLT_OP_PK in SSM,CONFIG_DATA,PAYMENT_SERVICE ,WALLET_PROVIDER,PNPD,SECRET,-
